Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Selected,Lasso Magnitude Change from Linear
Make_Ford,-0.5744519209700933,-0.4845693140542136,0.5744519209700933,0.4845693140542136,0.0898826069158797,-0.5193884225233311,0.5193884225233311,True,0.05506349844676228
Color_Brown,0.140074189840237,0.0504374998368432,0.140074189840237,0.0504374998368432,0.0896366900033937,0.005292681858549028,0.005292681858549028,True,0.13478150798168798
Make_Jeep,-0.480792549069217,-0.3914668934291178,0.480792549069217,0.3914668934291178,0.0893256556400992,-0.4240087025589368,0.4240087025589368,True,0.05678384651028018
Color_Maroon,0.1253555695537822,0.0364007558941429,0.1253555695537822,0.0364007558941429,0.0889548136596392,-0.0,0.0,False,0.1253555695537822
Color_Grey,0.1467561263183316,0.0578828561548582,0.1467561263183316,0.0578828561548582,0.0888732701634733,0.012359753617428231,0.012359753617428231,True,0.13439637270090338
Color_Others,0.1098576312232708,0.0213598595858537,0.1098576312232708,0.0213598595858537,0.0884977716374171,-0.003179389359869411,0.003179389359869411,True,0.10667824186340139
Color_Gold,0.1553395463805603,0.0679207462484884,0.1553395463805603,0.0679207462484884,0.0874188001320719,0.019001773520150048,0.019001773520150048,True,0.13633777286041027
Color_Black,0.1320250048902998,0.0448577517341845,0.1320250048902998,0.0448577517341845,0.0871672531561152,0.0,0.0,False,0.1320250048902998
Color_Red,0.1399864033816618,0.053312929659135,0.1399864033816618,0.053312929659135,0.0866734737225267,0.006464018796126311,0.006464018796126311,True,0.13352238458553548
Color_Silver,0.0921277546254489,0.0068956014827617,0.0921277546254489,0.0068956014827617,0.0852321531426871,-0.038141163725255854,0.038141163725255854,True,0.05398659090019304
Color_White,0.1402262277014314,0.0557121069881805,0.1402262277014314,0.0557121069881805,0.0845141207132508,0.010382742148458218,0.010382742148458218,True,0.12984348555297318
Make_Volkswagen,-0.6159173688896646,-0.532029937499473,0.6159173688896646,0.532029937499473,0.0838874313901916,-0.5664951412912913,0.5664951412912913,True,0.049422227598373336
Color_Blue,0.1391520687780913,0.0596861215361411,0.1391520687780913,0.0596861215361411,0.0794659472419501,0.012399455155271164,0.012399455155271164,True,0.12675261362282014
Make_Skoda,-0.5337037703215703,-0.457520533693149,0.5337037703215703,0.457520533693149,0.0761832366284213,-0.49037286566903093,0.49037286566903093,True,0.043330904652539415
Color_Green,0.1313308145384506,0.0560120260195913,0.1313308145384506,0.0560120260195913,0.0753187885188592,0.0010847424260465406,0.0010847424260465406,True,0.13024607211240408
Location_Navi Mumbai,0.1236261988806165,0.0484583508772929,0.1236261988806165,0.0484583508772929,0.0751678480033235,0.030951721029985665,0.030951721029985665,True,0.09267447785063083
Make_infrequent_sklearn,-0.1396949476029974,-0.0665295939976919,0.1396949476029974,0.0665295939976919,0.0731653536053054,-0.08384066269837001,0.08384066269837001,True,0.05585428490462738
Location_Indore,0.1897648012442082,0.1194208502379087,0.1897648012442082,0.1194208502379087,0.0703439510062994,0.09400544465402842,0.09400544465402842,True,0.09575935659017977
Model_A6 2.0 TDI Premium,-0.2387319961051015,-0.1715489815243384,0.2387319961051015,0.1715489815243384,0.0671830145807631,-0.16360915169438955,0.16360915169438955,True,0.07512284441071196
Location_Mangalore,0.1687981370295597,0.1063047720629234,0.1687981370295597,0.1063047720629234,0.0624933649666362,0.07304819912076273,0.07304819912076273,True,0.09574993790879698
Model_Fortuner 2.8 4x4 AT [2016-2020],0.31750495747251,0.255318385626931,0.31750495747251,0.255318385626931,0.0621865718455789,0.27573614104950345,0.27573614104950345,True,0.04176881642300656
Location_Karnal,0.1291022093326994,0.0686806458480204,0.1291022093326994,0.0686806458480204,0.0604215634846789,0.03570707552780675,0.03570707552780675,True,0.09339513380489264
Location_Jaipur,0.1034378866646825,0.0443692400684022,0.1034378866646825,0.0443692400684022,0.0590686465962803,0.03340189375212585,0.03340189375212585,True,0.07003599291255665
Location_Dehradun,0.1698567301644851,0.1112406395006813,0.1698567301644851,0.1112406395006813,0.0586160906638037,0.09799480238499415,0.09799480238499415,True,0.07186192777949095
Fuel Type_infrequent_sklearn,0.3296657376934114,0.2715834451729415,0.3296657376934114,0.2715834451729415,0.0580822925204699,0.28139058276118223,0.28139058276118223,True,0.04827515493222917
Location_Guwahati,0.119970139500128,0.0619061602244105,0.119970139500128,0.0619061602244105,0.0580639792757174,0.03542790443027607,0.03542790443027607,True,0.08454223506985192
Location_Ludhiana,0.0903433428030547,0.03312752623104,0.0903433428030547,0.03312752623104,0.0572158165720146,0.021574149313352692,0.021574149313352692,True,0.06876919348970201
Location_Coimbatore,0.2701275035737754,0.2150647621433682,0.2701275035737754,0.2150647621433682,0.0550627414304071,0.20572806635792223,0.20572806635792223,True,0.06439943721585317
Location_Raipur,0.0681356277584506,0.0133633045334038,0.0681356277584506,0.0133633045334038,0.0547723232250467,0.0,0.0,False,0.0681356277584506
Location_Lucknow,0.0646764707363927,0.0099763608922865,0.0646764707363927,0.0099763608922865,0.0547001098441061,0.0,0.0,False,0.0646764707363927
Location_Hyderabad,0.1886703282503447,0.1345563480253077,0.1886703282503447,0.1345563480253077,0.0541139802250369,0.12685812404422508,0.12685812404422508,True,0.0618122042061196
Location_Mumbai,0.1027877602883561,0.0487560639663261,0.1027877602883561,0.0487560639663261,0.0540316963220299,0.040787206784208885,0.040787206784208885,True,0.06200055350414721
Location_Jalandhar,0.0611116601932856,0.0070844725242235,0.0611116601932856,0.0070844725242235,0.054027187669062,-0.0,0.0,False,0.0611116601932856
Location_Udupi,0.1753759810962319,0.1220393444048785,0.1753759810962319,0.1220393444048785,0.0533366366913533,0.0926536400585409,0.0926536400585409,True,0.082722341037691
Location_Meerut,0.0960299350913381,0.042855912629287,0.0960299350913381,0.042855912629287,0.0531740224620511,0.00074981502941412,0.00074981502941412,True,0.09528012006192398
Location_Pune,0.1740508215523979,0.1209188241744987,0.1740508215523979,0.1209188241744987,0.0531319973778991,0.11021215884387016,0.11021215884387016,True,0.06383866270852774
Location_Bangalore,0.2440473349077006,0.1915884489545447,0.2440473349077006,0.1915884489545447,0.0524588859531558,0.1808554885029926,0.1808554885029926,True,0.06319184640470801
Location_Delhi,0.0648090989210344,0.0139114069422425,0.0648090989210344,0.0139114069422425,0.0508976919787918,0.0022284190023362043,0.0022284190023362043,True,0.06258067991869819
Location_Noida,0.0694538723613639,0.0186657572303871,0.0694538723613639,0.0186657572303871,0.0507881151309767,0.0007426325911186599,0.0007426325911186599,True,0.06871123977024524
Location_Ahmedabad,0.0502879483800512,-0.0020240270393749,0.0502879483800512,0.0020240270393749,0.0482639213406762,-0.006629718184002883,0.006629718184002883,True,0.043658230196048316
Location_Chennai,0.2599326648089639,0.2118376955198356,0.2599326648089639,0.2118376955198356,0.0480949692891282,0.19794147570058343,0.19794147570058343,True,0.061991189108380446
Location_Bhopal,0.1249278113278917,0.0769977733136552,0.1249278113278917,0.0769977733136552,0.0479300380142364,0.030556691477652928,0.030556691477652928,True,0.09437111985023877
Location_Patna,0.0784165937117436,0.0309076386981702,0.0784165937117436,0.0309076386981702,0.0475089550135733,0.017478703215771885,0.017478703215771885,True,0.06093789049597172
Color_Yellow,0.0692016162233172,-0.0225124058749561,0.0692016162233172,0.0225124058749561,0.046689210348361,-0.02611543401919648,0.02611543401919648,True,0.04308618220412072
Model_Q3 35 TDI Premium + Sunroof,-0.1497448178820269,-0.103066719035186,0.1497448178820269,0.103066719035186,0.0466780988468408,-0.07998067291586063,0.07998067291586063,True,0.06976414496616627
Model_A6 35 TDI Matrix,-0.0692012382670924,-0.0235063829005095,0.0692012382670924,0.0235063829005095,0.0456948553665828,-0.019786938267978955,0.019786938267978955,True,0.04941429999911345
Location_Thane,0.0476594155640699,-0.0081865894057302,0.0476594155640699,0.0081865894057302,0.0394728261583396,-0.006391295311179707,0.006391295311179707,True,0.04126812025289019
Location_Mohali,0.0466510100016581,-0.0089696307815668,0.0466510100016581,0.0089696307815668,0.0376813792200912,-0.01519972326767068,0.01519972326767068,True,0.031451286733987414
Model_Fortuner 3.0 4x4 MT,0.2101364797951739,0.1762859360351558,0.2101364797951739,0.1762859360351558,0.033850543760018,0.1890588366606378,0.1890588366606378,True,0.02107764313453611
