Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%)
Model_Verna Fluidic 1.6 CRDi SX,0.06052220255962019,0.012547474966535214,0.01603430058791475,5,100.0
Model_Vitara Brezza VDi (O) [2016-2018],0.10189739790157569,0.03289902547725143,0.006911868990742931,1,20.0
Model_Vitara Brezza ZDi,0.09131879093850645,0.029064218928662223,0.027595432140792648,5,100.0
Model_Wagon R LXI CNG (O),0.0936197211333289,0.042081502806181635,0.02385663060774799,2,40.0
Model_Wagon R LXi,0.07077625927003671,0.05752583553395494,0.0692072918484354,5,100.0
Model_Wagon R VXI,0.08566035475267048,0.022528954494222354,0.0011114260864263802,1,20.0
Model_X1 sDrive20d xLine,0.06686028474212878,0.026564195402578813,0.02961287250375279,5,100.0
Model_i10 Magna 1.2 Kappa2,0.08076233785196248,0.022287993275845634,0.02303791414239438,5,100.0
Model_i20 Magna 1.2,0.08343424326836207,0.07789576168142545,0.0886715096768135,5,100.0
Model_infrequent_sklearn,0.07305464905905558,0.010739706239511794,0.007677168463019564,5,100.0
Fuel Type_Diesel,0.05584142851566836,0.05091065225659142,0.05180122011422059,4,80.0
Fuel Type_Electric,0.13635556489316497,0.11373580811649525,0.09388133508520313,3,60.0
Fuel Type_Petrol,0.032993266153103794,0.030561383983999265,0.02769162407335087,5,100.0
Fuel Type_infrequent_sklearn,0.056728505317530896,0.05428725346579934,0.05772244697572061,5,100.0
Transmission_Manual,0.014514131575906012,0.01326507739169176,0.012992307201839047,5,100.0
Location_Ahmedabad,0.020934990141314086,0.01686688671671329,0.013238774974280873,4,80.0
Location_Ambala Cantt,0.03780598000361593,0.031128079771946874,0.026800692925140552,5,100.0
Location_Bangalore,0.031130113430511957,0.020539309588178692,0.018122248770314833,5,100.0
Location_Bhopal,0.07261569697662956,0.0630515256708806,0.04168660092174005,5,100.0
Location_Chandigarh,0.018714991792872542,0.01933259581723242,0.018298606407579493,4,80.0
Location_Chennai,0.013489679232860138,0.012741216136667732,0.02022066981512135,5,100.0
Location_Coimbatore,0.021811969641491756,0.013831852909763423,0.01601995932238069,5,100.0
Location_Dehradun,0.047048630262754056,0.05165061712127441,0.05326226647992579,4,80.0
Location_Delhi,0.0120643224212598,0.00610480489444509,0.008984460937797553,3,60.0
Location_Faridabad,0.018278479822508888,0.009881887388080737,0.005072346295779783,5,100.0
Location_Gurgaon,0.023932583618333333,0.021317239243162586,0.02487089605895236,5,100.0
Location_Guwahati,0.030199677475591997,0.021768396624838652,0.024113044253945073,5,100.0
Location_Hyderabad,0.02437412971307286,0.017118670314510146,0.017213979909593453,5,100.0
Location_Indore,0.04644172987932567,0.04486120822090723,0.042533495067064914,5,100.0
Location_Jaipur,0.023701875845469365,0.01699072148321156,0.0131836999478822,5,100.0
Location_Jalandhar,0.042231600967492705,0.03227329000427046,0.024295268861601542,3,60.0
Location_Jamshedpur,0.04043092690418328,0.038449694392325685,0.03925871193793413,4,80.0
Location_Kanpur,0.02709997826226687,0.029910342964032624,0.031024289023550915,5,100.0
Location_Karnal,0.06337074189164318,0.046573849694398234,0.03215041765457098,4,80.0
Location_Kolkata,0.013959518709750787,0.008294696926592057,0.011424968009714617,5,100.0
Location_Lucknow,0.027696467571269343,0.025868553974540884,0.01675459193810553,4,80.0
