Feature,Linear Coefficient SD,Ridge Coefficient SD,Lasso Coefficient SD,Lasso Folds Selected,Lasso Selection Frequency (%),Elastic Net Coefficient SD,Elastic Net Folds Selected,Elastic Net Selection Frequency (%),Elastic Net Stability Improvement from Linear
Model_Swift VDi,0.0483325663113813,0.0259538092472275,0.0290067919525118,5,100.0,0.024749820532446717,5,100.0,0.023582745778934586
Model_Swift VXi,0.0734271277210047,0.0169394889397474,0.0145410360884155,5,100.0,0.0065098041247556495,5,100.0,0.06691732359624905
Model_Swift VXi [2014-2017],0.0822247575023686,0.023240043639301,0.0163525348911468,1,20.0,0.0020065284799572736,1,20.0,0.08021822902241132
Model_V40 D3 R-Design,0.1381421209202984,0.060754248976961,0.0416686171766273,2,40.0,0.008989001029647902,1,20.0,0.1291531198906505
Model_Verna 1.6 CRDI SX,0.086633160540403,0.0246412727914418,0.0322702379454216,5,100.0,0.03136810233264364,5,100.0,0.055265058207759364
Model_Verna Fluidic 1.6 CRDi SX,0.0605222025596201,0.0125474749665352,0.0160343005879147,5,100.0,0.014809419575078895,5,100.0,0.045712782984541206
Model_Vitara Brezza VDi (O) [2016-2018],0.1018973979015756,0.0328990254772514,0.0069118689907429,1,20.0,0.0,0,0.0,0.1018973979015756
Model_Vitara Brezza ZDi,0.0913187909385064,0.0290642189286622,0.0275954321407926,5,100.0,0.024946511501976572,5,100.0,0.06637227943652982
Model_Wagon R LXI CNG (O),0.0936197211333289,0.0420815028061816,0.0238566306077479,2,40.0,0.002829227856772116,2,40.0,0.09079049327655679
Model_Wagon R LXi,0.0707762592700367,0.0575258355339549,0.0692072918484354,5,100.0,0.056506979275444257,4,80.0,0.014269279994592439
Model_Wagon R VXI,0.0856603547526704,0.0225289544942223,0.0011114260864263,1,20.0,0.0,0,0.0,0.0856603547526704
Model_X1 sDrive20d xLine,0.0668602847421287,0.0265641954025788,0.0296128725037527,5,100.0,0.02698045941953669,5,100.0,0.03987982532259201
Model_i10 Magna 1.2 Kappa2,0.0807623378519624,0.0222879932758456,0.0230379141423943,5,100.0,0.02163234937203022,5,100.0,0.059129988479932186
Model_i20 Magna 1.2,0.083434243268362,0.0778957616814254,0.0886715096768135,5,100.0,0.08406630505824163,5,100.0,-0.0006320617898796232
Model_infrequent_sklearn,0.0730546490590555,0.0107397062395117,0.0076771684630195,5,100.0,0.005664016806923307,5,100.0,0.06739063225213218
Fuel Type_Diesel,0.0558414285156683,0.0509106522565914,0.0518012201142205,4,80.0,0.04004739467423268,4,80.0,0.01579403384143562
Fuel Type_Electric,0.1363555648931649,0.1137358081164952,0.0938813350852031,3,60.0,0.047475300534807696,3,60.0,0.08888026435835719
Fuel Type_Petrol,0.0329932661531037,0.0305613839839992,0.0276916240733508,5,100.0,0.018837179937605312,5,100.0,0.014156086215498385
Fuel Type_infrequent_sklearn,0.0567285053175308,0.0542872534657993,0.0577224469757206,5,100.0,0.05335670143986831,5,100.0,0.003371803877662491
Transmission_Manual,0.014514131575906,0.0132650773916917,0.012992307201839,5,100.0,0.01124860762042831,5,100.0,0.0032655239554776894
Location_Ahmedabad,0.020934990141314,0.0168668867167132,0.0132387749742808,4,80.0,0.010349742082031032,3,60.0,0.010585248059282968
Location_Ambala Cantt,0.0378059800036159,0.0311280797719468,0.0268006929251405,5,100.0,0.027014538568733457,5,100.0,0.010791441434882445
Location_Bangalore,0.0311301134305119,0.0205393095881786,0.0181222487703148,5,100.0,0.015228759227949713,5,100.0,0.01590135420256219
Location_Bhopal,0.0726156969766295,0.0630515256708806,0.04168660092174,5,100.0,0.022702212447466865,4,80.0,0.04991348452916264
Location_Chandigarh,0.0187149917928725,0.0193325958172324,0.0182986064075794,4,80.0,0.015848788288071156,4,80.0,0.0028662035048013443
Location_Chennai,0.0134896792328601,0.0127412161366677,0.0202206698151213,5,100.0,0.016323797689589643,5,100.0,-0.002834118456729543
Location_Coimbatore,0.0218119696414917,0.0138318529097634,0.0160199593223806,5,100.0,0.01346312630315806,5,100.0,0.00834884333833364
Location_Dehradun,0.047048630262754,0.0516506171212744,0.0532622664799257,4,80.0,0.042903838134824714,4,80.0,0.0041447921279292865
Location_Delhi,0.0120643224212598,0.006104804894445,0.0089844609377975,3,60.0,0.006571684843462776,3,60.0,0.0054926375777970245
Location_Faridabad,0.0182784798225088,0.0098818873880807,0.0050723462957797,5,100.0,0.006248943318035615,5,100.0,0.012029536504473186
Location_Gurgaon,0.0239325836183333,0.0213172392431625,0.0248708960589523,5,100.0,0.02026609465159754,4,80.0,0.00366648896673576
Location_Guwahati,0.0301996774755919,0.0217683966248386,0.024113044253945,5,100.0,0.010609475933197039,4,80.0,0.01959020154239486
Location_Hyderabad,0.0243741297130728,0.0171186703145101,0.0172139799095934,5,100.0,0.014625079769571891,5,100.0,0.009749049943500909
Location_Indore,0.0464417298793256,0.0448612082209072,0.0425334950670649,5,100.0,0.03846638985908406,5,100.0,0.007975340020241542
Location_Jaipur,0.0237018758454693,0.0169907214832115,0.0131836999478822,5,100.0,0.011511804550323263,5,100.0,0.012190071295146036
Location_Jalandhar,0.0422316009674927,0.0322732900042704,0.0242952688616015,3,60.0,0.014022942709873854,3,60.0,0.028208658257618844
Location_Jamshedpur,0.0404309269041832,0.0384496943923256,0.0392587119379341,4,80.0,0.03189074965181728,4,80.0,0.008540177252365923
Location_Kanpur,0.0270999782622668,0.0299103429640326,0.0310242890235509,5,100.0,0.027301550218812566,5,100.0,-0.0002015719565457673
Location_Karnal,0.0633707418916431,0.0465738496943982,0.0321504176545709,4,80.0,0.014934002890687562,3,60.0,0.04843673900095554
Location_Kolkata,0.0139595187097507,0.008294696926592,0.0114249680097146,5,100.0,0.00907623513578534,5,100.0,0.00488328357396536
Location_Lucknow,0.0276964675712693,0.0258685539745408,0.0167545919381055,4,80.0,0.014164127111119317,3,60.0,0.013532340460149984
Location_Ludhiana,0.0206147802772038,0.0144818059839929,0.0166231803374456,4,80.0,0.010627829945412727,4,80.0,0.009986950331791073
Location_Mangalore,0.0723291842599835,0.0622465747246157,0.0543620375769778,4,80.0,0.03652076355042155,4,80.0,0.035808420709561944
Location_Meerut,0.0165280199774125,0.0115109774727652,0.0141352524241611,2,40.0,0.002355217603992028,1,20.0,0.014172802373420472
Location_Mohali,0.0431140424081865,0.0361940171033811,0.024280783167327,4,80.0,0.019492274806322128,4,80.0,0.02362176760186437
