Feature,Linear Coefficient,Ridge Coefficient,Absolute Linear Coefficient,Absolute Ridge Coefficient,Magnitude Change,Lasso Coefficient,Absolute Lasso Coefficient,Lasso Selected,Lasso Magnitude Change from Linear,Elastic Net Coefficient,Absolute Elastic Net Coefficient,Elastic Net Selected,Elastic Net Magnitude Change from Linear
Make_Volkswagen,-0.6159173688896646,-0.532029937499473,0.6159173688896646,0.532029937499473,0.0838874313901916,-0.5664951412912913,0.5664951412912913,True,0.0494222275983733,-0.5215528121318892,0.5215528121318892,True,0.09436455675777544
Color_Blue,0.1391520687780913,0.0596861215361411,0.1391520687780913,0.0596861215361411,0.0794659472419501,0.0123994551552711,0.0123994551552711,True,0.1267526136228201,0.012301213287716474,0.012301213287716474,True,0.12685085549037484
Make_Skoda,-0.5337037703215703,-0.457520533693149,0.5337037703215703,0.457520533693149,0.0761832366284213,-0.4903728656690309,0.4903728656690309,True,0.0433309046525394,-0.4477354687867771,0.4477354687867771,True,0.08596830153479323
Color_Green,0.1313308145384506,0.0560120260195913,0.1313308145384506,0.0560120260195913,0.0753187885188592,0.0010847424260465,0.0010847424260465,True,0.130246072112404,0.0,0.0,False,0.1313308145384506
Location_Navi Mumbai,0.1236261988806165,0.0484583508772929,0.1236261988806165,0.0484583508772929,0.0751678480033235,0.0309517210299856,0.0309517210299856,True,0.0926744778506308,0.015534139788523341,0.015534139788523341,True,0.10809205909209316
Make_infrequent_sklearn,-0.1396949476029974,-0.0665295939976919,0.1396949476029974,0.0665295939976919,0.0731653536053054,-0.08384066269837,0.08384066269837,True,0.0558542849046273,-0.03644911622579649,0.03644911622579649,True,0.10324583137720089
Location_Indore,0.1897648012442082,0.1194208502379087,0.1897648012442082,0.1194208502379087,0.0703439510062994,0.0940054446540284,0.0940054446540284,True,0.0957593565901797,0.056010713305669174,0.056010713305669174,True,0.13375408793853902
Model_A6 2.0 TDI Premium,-0.2387319961051015,-0.1715489815243384,0.2387319961051015,0.1715489815243384,0.0671830145807631,-0.1636091516943895,0.1636091516943895,True,0.0751228444107119,-0.10874939190709867,0.10874939190709867,True,0.12998260419800284
Location_Mangalore,0.1687981370295597,0.1063047720629234,0.1687981370295597,0.1063047720629234,0.0624933649666362,0.0730481991207627,0.0730481991207627,True,0.0957499379087969,0.03594763019169754,0.03594763019169754,True,0.13285050683786215
Model_Fortuner 2.8 4x4 AT [2016-2020],0.31750495747251,0.255318385626931,0.31750495747251,0.255318385626931,0.0621865718455789,0.2757361410495034,0.2757361410495034,True,0.0417688164230065,0.21785909011484594,0.21785909011484594,True,0.09964586735766406
